Blog,Recipe,Link,Time,Ingredients
Chelseas Messy Apron,S’mores Energy Bites,https://www.chelseasmessyapron.com/smores-energy-bites/,25 minutes,"['honey graham crackers,', 'old-fashioned oats', 'salted cashew butter', 'honey', 'vanilla extract', 'fine sea salt', 'miniature chocolate chips', 'dehydrated marshmallows']"
Chelseas Messy Apron,Cheesy Broccoli & Chicken (Foil Pack),https://www.chelseasmessyapron.com/cheesy-broccoli-chicken/,50 minutes,"['instant (minute) rice', 'chicken stock or broth', 'smoked sausage', 'chopped broccoli', 'finely diced yellow onion', 'extra virgin olive oil', 'garlic powder, onion powder, fine sea salt, pepper', 'chicken bouillon powder', 'italian seasoning', 'freshly grated extra-sharp or sharp cheddar cheese', 'optional: fresh parsley']"
Chelseas Messy Apron,Maple Cookies,https://www.chelseasmessyapron.com/maple-cookies/,2 hours 24 minutes,"['unsalted butter', 'light brown sugar,', 'white sugar', 'large eggs', 'pure maple extract', 'pure vanilla extract', 'pure maple syrup', 'baking soda, baking powder, fine sea salt', 'white all-purpose flour', 'unsalted butter', 'pure maple syrup', 'powdered sugar', 'whole milk', 'tiny pinch fine sea salt', 'maple extract']"
Chelseas Messy Apron,Air Fryer Falafel,https://www.chelseasmessyapron.com/air-fryer-falafel/,1 hour 10 minutes,"['chickpeas', 'coarsely chopped red onion', 'roughly chopped garlic', 'lightly packed roughly chopped flat-leaf italian parsley', 'lightly packed roughly chopped cilantro', 'lightly packed chopped green onions', 'ground cumin, paprika, baking powder', 'fine sea salt, ground coriander', 'pepper', 'white, all-purpose flour', 'fresh lemon juice and olive oil', 'extra olive oil and olive oil cooking spray', 'optional veggies: halved cherry tomatoes, thinly sliced english/persian cucumber, thinly sliced red onion, feta cheese, lemon wedges, kalamata olives', 'pita breads', 'olive oil', 'fine sea salt and pepper', '(unpeeled) grated persian/english cucumber', 'full-fat plain greek yogurt', 'minced garlic', 'lemon\xa0(1/2 teaspoon zest and 1 tablespoon juice)', 'olive oil', 'red wine vinegar']"
Chelseas Messy Apron,Brownie Recipe,https://www.chelseasmessyapron.com/brownie-recipe/,4 hours 5 minutes,"['eggs', 'egg yolk', 'unsalted butter', 'dark chocolate chips', 'unsweetened cocoa powder', 'white granulated sugar', 'vanilla extract', 'white, all-purpose flour', 'fine sea salt', 'milk chocolate chips']"
Chelseas Messy Apron,General Tso Ramen,https://www.chelseasmessyapron.com/general-tso-ramen/,50 minutes,"['all-purpose soy sauce', 'hoisin sauce', 'cornstarch', 'rice vinegar', 'chili garlic paste', 'light brown sugar', 'low sodium chicken broth', 'toasted sesame oil', 'white pepper and fine sea salt', 'chicken thighs or chicken tenders,', 'toasted sesame oil', 'ginger and garlic', 'cornstarch', 'fine sea salt and pepper', 'vegetable oil', 'diced yellow onion', 'ramen (instant) noodles', 'thinly sliced mushrooms', 'thinly sliced bok choy leaves', 'optional garnish: finely sliced green onion, red pepper flakes, additional toasted sesame oil, toasted sesame seeds']"
Chelseas Messy Apron,Creamy Pesto Orzo (30 Minutes; ONE Pot!),https://www.chelseasmessyapron.com/creamy-pesto-orzo/,30 minutes,"['extra virgin olive oil', 'finely diced yellow onion', 'finely minced garlic', '93/7 ground turkey', 'fine sea salt and freshly cracked pepper', 'frozen corn', 'frozen sweet peas', 'unsalted butter', 'white, all-purpose flour', 'chicken stock or broth', 'whole milk', 'uncooked orzo pasta', 'freshly grated parmesan cheese', 'fresh basil pesto', 'optional: 1/3 cup (20g) finely chopped fresh flat-leaf italian parsley']"
Chelseas Messy Apron,Vegetarian Tikka Masala,https://www.chelseasmessyapron.com/vegetarian-tikka-masala/,1 hour 5 minutes,"['coconut oil', 'finely diced yellow onion', 'diced carrot', 'diced red pepper', 'finely minced garlic', 'peeled & finely minced ginger', 'garam masala', 'ground turmeric, white sugar, fine sea salt', 'ground cumin, ground coriander', 'ground cardamom, crushed red pepper flakes', 'tomato paste', 'fire-roasted crushed tomatoes', 'chickpeas', 'coconut milk', 'frozen sweet peas', 'finely chopped fresh cilantro', 'basmati rice, warmed naan, plain greek yogurt, and additional cilantro, for serving', 'snap peas,', '1 tsp olive oil, 1 teaspoon lime juice, salt & pepper']"
Chelseas Messy Apron,Lentil Salad,https://www.chelseasmessyapron.com/lentil-salad/,55 minutes,"['dried green or brown lentils', 'vegetable broth', 'water', 'italian seasoning', 'fine sea salt and pepper', 'coarsely chopped sun-dried tomatoes packed in olive oil', 'chopped persian or english cucumber', 'diced red onion', 'finely chopped flat-leaf italian parsley', 'crumbled feta cheese', 'red wine vinegar', 'dijon mustard', 'italian seasoning', 'garlic,', 'honey', 'olive oil', 'freshly squeezed lemon juice + 2 teaspoons lemon zest']"
Chelseas Messy Apron,Air Fryer Sweet Potato & Black Bean Egg Rolls,https://www.chelseasmessyapron.com/air-fryer-black-bean-egg-rolls/,43 minutes,"['diced cooked sweet potatoes', 'extra-virgin olive oil', 'diced red pepper', 'diced yellow onion', 'diced jalapeño, minced garlic', 'ground cumin, garlic powder, onion powder', 'paprika', 'ground chili powder', 'fine sea salt and 1/4 teaspoon pepper', 'black beans,', 'freshly squeezed lime juice', 'cheddar cheese', 'sour cream', 'refrigerated egg roll wrappers and water to seal the edges', 'olive oil cooking spray', 'optional: fresh avocados, thinly sliced', 'mayo', 'freshly squeezed lime juice & 1/4 teaspoon lime zest', 'hot sauce,']"
Chelseas Messy Apron,Sweet and Sour Meatballs,https://www.chelseasmessyapron.com/crockpot-sweet-sour-meatballs/,48 minutes,"['(85 % lean-15% fat) ground beef', 'panko breadcrumbs', 'dried minced onion', 'egg', 'full-fat or lite coconut milk', 'ground ginger', 'salt and pepper', 'vegetable or canola oil', 'grated yellow onion', 'fresh garlic', 'fresh ginger', 'bell peppers', 'mandarin oranges', 'pineapple chunks', 'white granulated sugar', 'rice vinegar', 'pineapple juice, ketchup', 'worcestershire sauce', 'regular soy sauce', 'oyster sauce', 'cornstarch with 1/2 cup (109g) water,', 'sesame oil', 'serve with: cooked rice', 'garnish with: toasted sesame seeds and thinly sliced green onions']"
Chelseas Messy Apron,Chocolate Chip Pancakes,https://www.chelseasmessyapron.com/chocolate-chip-pancakes/,25 minutes,"['unsalted butter,', 'buttermilk', 'large egg', 'pure vanilla extract', 'white, all-purpose flour', 'light brown sugar,', 'ground cinnamon,', 'fine sea salt', 'cornstarch', 'baking powder', 'baking soda', 'miniature chocolate chips,']"
Chelseas Messy Apron,Cauliflower Smoothie,https://www.chelseasmessyapron.com/cauliflower-smoothie/,10 minutes,"['pitted large medjool dates', 'milk', 'frozen cauliflower florets', 'dry roasted and lightly salted almond butter', 'old-fashioned oats', 'vanilla extract', 'ground cinnamon', 'very tiny pinch of fine sea salt', 'ice cubes']"
Chelseas Messy Apron,Chicken Pot Pie Pasta,https://www.chelseasmessyapron.com/chicken-pot-pie-pasta/,30 minutes,"['olive oil', 'mirepoix', 'minced garlic', 'fine sea salt and pepper', 'frozen diced vegetables', 'unsalted butter', 'white all-purpose flour', 'dried thyme, dried parsley', 'garlic powder', 'celery seed,', 'chicken bouillon powder', ""swanson's chicken stock (or broth)"", 'whole milk', 'dry orzo pasta', 'diced rotisserie chicken', 'freshly grated parmesan cheese,', ""optional: 1/3 cup (15g) finely chopped fresh italian flat-leaf parsley, 1 package biscuits (we use pillsbury grands! flaky layers butter tastin' biscuits) -- note 6""]"
Chelseas Messy Apron,General Tso Chickpeas,https://www.chelseasmessyapron.com/general-tso-chickpeas/,30 minutes,"['cornstarch', 'chicken stock (or broth)', 'soy sauce', 'hoisin sauce, rice vinegar', 'toasted sesame oil', 'chili paste', 'light brown sugar', 'olive oil', 'thinly sliced red onion', 'thinly sliced carrots', 'snow peas', 'chopped broccoli florets', 'thinly sliced red pepper', 'minced ginger, finely chopped garlic', 'chickpeas,', 'optional: toasted (or plain) sesame seeds, thinly sliced green onions', 'optional: cooked rice or cauliflower rice for serving note 2']"
Chelseas Messy Apron,Funfetti Cookies,https://www.chelseasmessyapron.com/soft-baked-funfetti-cookies/,1 hour 50 minutes,"['unsalted butter', 'packed light brown sugar', 'white, granulated sugar', 'large egg', 'pure vanilla extract', 'honey', 'fine sea salt', 'baking soda', 'baking powder', 'all-purpose white flour', 'jimmies-style sprinkles']"
Chelseas Messy Apron,Air Fryer Chicken Tenders,https://www.chelseasmessyapron.com/air-fryer-chicken-tenders/,35 minutes,"['chicken tenderloins', 'buttermilk,', 'mayonnaise', 'white, all-purpose flour', 'egg', 'dijon mustard', 'garlic powder, paprika, fine sea salt', 'onion powder and pepper', 'panko breadcrumbs', 'yellow cornmeal', 'white, all-purpose flour', 'olive oil cooking spray', 'yellow mustard', 'lemon juice', 'honey', 'honey bbq sauce']"
Chelseas Messy Apron,Chicken Ramen Noodles,https://www.chelseasmessyapron.com/chicken-ramen-noodles/,35 minutes,"['vegetable oil', 'diced yellow onion', 'garlic', 'minced ginger', 'diced chicken thighs', 'diced broccoli', 'ramen (instant) noodles,', 'corn starch', 'lite (low-sodium) soy sauce', 'low-sodium chicken broth', 'toasted sesame oil', 'rice vinegar, hoisin sauce, honey', 'oyster sauce', 'sriracha sauce', 'ground white pepper', 'optional garnishes: roughly chopped roasted & lightly salted cashews, 3-4 green onions, a few drizzles of sesame oil, toasted sesame seeds, extra sriracha sauce']"
Chelseas Messy Apron,Quinoa Salad,https://www.chelseasmessyapron.com/avocado-quinoa-salad/,1 hour 55 minutes,"['uncooked white quinoa', 'fresh cherry tomatoes,', 'english or persian cucumber,', 'red onion,', 'lightly packed fresh baby spinach,', 'ripe avocados,', 'fresh cilantro or flat-leaf italian parsley,', 'feta cheese,', 'red wine vinegar', 'dijon mustard,', 'dried oregano', 'garlic,', 'olive oil', 'honey', 'freshly squeezed lemon juice', 'fine sea salt and pepper']"
Chelseas Messy Apron,Oatmeal Scotchies,https://www.chelseasmessyapron.com/oatmeal-scotchies/,1 hour 40 minutes,"['unsalted butter,', 'light brown sugar', 'dark brown sugar', 'egg', 'vanilla extract', 'molasses', 'old-fashioned oats', 'baking soda, baking powder, salt', 'ground cinnamon,', 'all-purpose white flour', 'butterscotch chips,', 'toffee bits,']"
Chelseas Messy Apron,Black Bean Wraps,https://www.chelseasmessyapron.com/black-bean-wraps/,35 minutes,"['olive oil', 'diced red onion, diced red pepper', 'black beans,', 'chili powder', 'paprika, garlic powder, ground cumin', 'fine sea salt & pepper', 'medium-sized tortillas', 'avocado,', 'diced cherry tomatoes', 'cilantro and freshly squeezed lime juice', 'regular mayo', 'freshly squeezed lime juice + 1/4 teaspoon lime zest', 'paprika, chili powder', 'tabasco or sriracha']"
Chelseas Messy Apron,Honey Mustard Chicken Sausage  and Veggies,https://www.chelseasmessyapron.com/honey-mustard-chicken-sausage-veggies/,30 minutes,"['baby carrots', 'chopped broccoli florets', 'chicken and apple sausage,', 'olive oil,', 'fine sea salt and cracked pepper', 'garlic & herb seasoning,', 'for serving: 2 cups cooked quinoa (note 3), mixed greens lettuce', 'regular, full-fat mayonnaise', 'yellow mustard', 'honey', 'red wine vinegar']"
Chelseas Messy Apron,Chickpea Salad Sandwich,https://www.chelseasmessyapron.com/chickpea-salad-sandwich/,20 minutes,"['chickpeas', 'mashed avocado', 'fresh lemon juice + 1/2 teaspoon lemon zest', 'olive oil', 'thinly sliced green onions', 'finely chopped cilantro', 'dijon mustard', 'garlic powder, fine sea salt', 'onion powder', 'pepper', 'for serving: hearty whole grain/whole wheat bread, toasted', 'for serving: thinly sliced roma tomatoes, green leaf lettuce, thinly sliced red onion, bread and butter pickles']"
Chelseas Messy Apron,Easter Cookies,https://www.chelseasmessyapron.com/easter-cookies/,1 hour 35 minutes,"['unsalted butter, melted', 'light brown sugar', 'dark brown sugar', 'egg', 'vanilla extract', 'molasses', 'old-fashioned oats', 'baking soda, baking powder, fine sea salt', 'all-purpose white flour', 'chocolate chips', 'mini cadbury eggs']"
Chelseas Messy Apron,Magic Bars,https://www.chelseasmessyapron.com/magic-bars/,1 hour 45 minutes,"['unsalted butter,', 'graham cracker crumbs', 'fine sea salt', 'full-fat sweetened condensed milk', 'quick oats', 'milk chocolate chips', 'butterscotch chips', 'white chocolate chips', ""m&m's""]"
Chelseas Messy Apron,Easter Pretzels,https://www.chelseasmessyapron.com/easter-pretzels/,43 minutes,"['pretzels', 'chocolate candies', 'm&m candies']"
Chelseas Messy Apron,Hoppy Cottontails! (Free Easter Printable),https://www.chelseasmessyapron.com/easter-printable/,26 minutes,"['white all-purpose flour', 'sweetened coconut flakes', 'full fat, regular sweetened condensed milk', 'fine sea salt', 'pure vanilla extract', 'optional: 1-1/2 cup milk, semi-sweet, or dark chocolate chips + 1 teaspoon coconut or vegetable oil', 'pecan halves', 'unsalted good-quality butter', 'powdered sugar', 'fine sea salt', 'pure vanilla extract', 'white all-purpose flour', 'cornstarch', 'powdered sugar for coating the cookies']"
Chelseas Messy Apron,Coconut Macaroons,https://www.chelseasmessyapron.com/coconut-macaroons/,26 minutes,"['white all-purpose flour', 'sweetened coconut flakes', 'full fat, regular sweetened condensed milk', 'fine sea salt', 'pure vanilla extract', 'optional: 1-1/2 cup milk, semi-sweet, or dark chocolate chips + 1 teaspoon coconut or vegetable oil']"
Chelseas Messy Apron,Vegetable Masala,https://www.chelseasmessyapron.com/vegetable-masala/,1 hour 25 minutes,"['coconut oil', 'ghee (or unsalted butter),', 'finely diced red onion', 'thinly sliced carrots', 'diced red pepper', 'diced yukon gold potatoes', 'chopped cauliflower', 'white sugar', 'finely minced garlic', 'peeled & finely minced ginger', 'tomato paste', 'fire-roasted crushed tomatoes', 'vegetable stock (or broth)', 'heavy whipping cream', 'frozen sweet peas', 'finely diced cilantro (or parsley)', 'serve with: cooked basmati rice (note 1), cucumber raita (note 2), lemon wedges, additional cilantro or parsley, and warmed naan (note 3)', 'turmeric, coriander', 'sweet paprika, garam masala', 'ground cumin', 'cardamom powder, cayenne pepper (optional)', 'fine sea salt and cracked pepper']"
Chelseas Messy Apron,Ground Beef Ramen,https://www.chelseasmessyapron.com/ground-beef-ramen/,30 minutes,"['vegetable oil,', 'large red onion,', 'finely minced garlic and finely minced ginger', 'lean ground beef', 'large red bell pepper', 'finely diced broccoli', 'matchstick carrots', 'ramen (instant) noodles,', 'corn starch', 'lite (low sodium) soy sauce', 'low sodium chicken broth', 'toasted sesame oil', 'light brown sugar, rice vinegar, hoisin sauce', 'oyster sauce', 'sriracha sauce,', 'ground white pepper', 'garnish with: 3-4 green onions, a few drizzles of sesame oil, toasted sesame seeds']"
Chelseas Messy Apron,Sweet Potato and Chicken Sausage Bowls,https://www.chelseasmessyapron.com/sweet-potato-chicken-sausage-bowls/,1 hour,"['chicken and apple sausage,', 'sweet potatoes,', 'olive oil,', 'fine sea salt and cracked pepper', 'chili powder, ground cumin', 'paprika, garlic powder', 'large avocado,', 'diced cherry tomatoes', 'each: cilantro & freshly squeezed lime juice', 'regular mayonnaise', 'freshly squeezed lime juice 1/4 teaspoon lime zest', 'chili powder, paprika', 'ground cumin', 'sriracha or hot sauce', 'optional: queso cotija cheese, for topping']"
Chelseas Messy Apron,Curry Lentil Soup,https://www.chelseasmessyapron.com/curry-lentil-soup/,1 hour 10 minutes,"['coconut oil', 'diced red onion', 'thinly sliced carrots', 'diced yukon gold potatoes', 'finely minced garlic, finely minced ginger', 'yellow curry powder', 'paprika, ground coriander', 'ground cumin, garam masala, white sugar', 'turmeric', 'crushed red pepper flakes,', 'fine sea salt and cracked pepper', 'fire-roasted crushed tomatoes', 'red lentils', 'full-fat coconut milk,', 'vegetable stock or broth', 'frozen sweet peas', 'optional: zest and juice of a lemon (3 tablespoons juice), 1/3 cup finely diced cilantro, toasted coconut flakes']"
Chelseas Messy Apron,Air Fryer Dutch Baby,https://www.chelseasmessyapron.com/air-fryer-dutch-baby/,24 minutes,"['unsalted butter,', 'whole milk', 'white all-purpose flour', 'large eggs', 'large egg yolk', 'fine sea salt', 'pure vanilla extract', 'white sugar,', 'ground cinnamon,', 'unsalted butter (56g), light brown sugar (50g), white granulated sugar (50g), heavy whipping cream (60g)', 'vanilla extract', 'tiny pinch fine sea salt', 'optional: fresh berries for serving']"
Chelseas Messy Apron,Vegetarian Gyros,https://www.chelseasmessyapron.com/vegetarian-gyros/,40 minutes,"['chickpeas (garbanzo beans)', 'olive oil', 'paprika, dried oregano', 'dried basil, garlic powder', 'fine sea salt & cracked pepper', 'pita breads', 'optional: prepared hummus', 'for serving: green leaf lettuce, halved or thinly sliced cherry tomatoes, thinly sliced persian/english cucumber, feta cheese, fresh lemon wedges', 'grated english/persian cucumber', 'plain whole greek yogurt', 'olive oil', 'red wine vinegar', 'freshly squeezed lemon juice + 1/4 teaspoon zest']"
Chelseas Messy Apron,Chewy Granola Bars,https://www.chelseasmessyapron.com/chewy-granola-bars/,1 hour 38 minutes,"['creamy peanut butter', 'honey', 'coconut oil', 'fine sea salt', 'pure vanilla extract', 'old-fashioned oats', 'shredded coconut', 'roasted and salted cashews,', 'mini chocolate chips,', ""miniature m&m's""]"
Chelseas Messy Apron,Chocolate Chia Seed Pudding,https://www.chelseasmessyapron.com/chocolate-chia-seed-pudding/,2 hours 10 minutes,"['macadamia nut milk', 'chia seeds', 'dutch-process cocoa powder', 'pure maple syrup', 'pure vanilla extract', 'fine sea salt', 'any desired toppings such as fresh fruit, coconut whipped cream, and dark chocolate shavings.']"
Chelseas Messy Apron,Air Fryer Pizookie,https://www.chelseasmessyapron.com/air-fryer-pizookie/,25 minutes,"['unsalted butter,', 'white granulated sugar', 'light brown sugar,', 'vanilla extract', 'egg', 'white all-purpose flour', 'baking soda', 'fine sea salt', 'milk, dark, or semi-sweet chocolate chips']"
Chelseas Messy Apron,Korean Beef Tacos,https://www.chelseasmessyapron.com/korean-beef-tacos/,2 hours,"['flank steak', 'ginger root', 'regular (not lite) soy sauce', 'light brown sugar,', 'toasted sesame oil, fresh lime juice', 'coarsely chopped yellow onion', 'coarsely chopped fuji apple', 'garlic', 'finely shredded green cabbage', 'matchstick carrots', 'matchstick-cut cucumbers', 'coarsely chopped cilantro', 'lime juice', 'regular soy sauce, rice vinegar, white granulated sugar', 'toasted sesame oil and sesame seeds', 'sriracha sauce', 'regular mayonnaise', 'sriracha sauce', 'white sugar and garlic powder', 'lime juice + 1/2 teaspoon lime zest', 'fine sea salt and pepper', 'street-size flour tortillas + olive oil cooking spray', 'optional: additional lime wedges and cilantro for serving']"
Chelseas Messy Apron,Banana Cupcakes (Cream Cheese Frosting),https://www.chelseasmessyapron.com/banana-cupcakes/,33 minutes,"['white all-purpose flour', 'baking soda', 'baking powder', 'fine sea salt', 'ground cinnamon', 'ground nutmeg', 'unsalted butter,', 'light brown sugar,', 'granulated white sugar', 'bananas: measured to get 3/4 cup (185g)', 'egg', 'egg yolk', 'pure vanilla extract', 'buttermilk', 'unsalted butter,', 'full-fat cream cheese,', 'vanilla bean paste,', 'fine sea salt', 'ground cinnamon', 'powdered sugar', 'optional: banana chips to garnish']"
Chelseas Messy Apron,Mango Salad,https://www.chelseasmessyapron.com/mango-salad/,30 minutes,"['spring mix lettuce blend', 'blueberries', 'peeled and diced honey mango', 'thinly sliced or chopped strawberries', 'coarsely chopped cinnamon-roasted almonds', 'mango yogurt', 'honey', 'mandarin oranges', 'ground cinnamon']"
Chelseas Messy Apron,Butter Chicken Meatballs,https://www.chelseasmessyapron.com/butter-chicken-meatballs/,1 hour 15 minutes,"['ground cumin, garam masala', 'ground turmeric and paprika', 'finely minced garlic, finely minced ginger', 'cayenne pepper', 'ground chicken', 'yellow onion', 'panko', 'egg', 'finely chopped cilantro', 'freshly squeezed lemon juice', 'fine sea salt and freshly cracked pepper', 'white flour', 'coconut oil (measured when solid)', 'unsalted butter', 'finely diced yellow onion', 'white sugar', 'tomato paste', 'fire-roasted crushed tomatoes', 'heavy whipping cream', 'serve with: cooked basmati rice, toasted naan, and fresh cilantro (optional)']"
Chelseas Messy Apron,Cookies and Cream Muddy Buddies,https://www.chelseasmessyapron.com/cookies-and-cream-muddy-buddies/,1 hour 30 minutes,"['rice chex cereal', 'regular oreos cookies', 'milk chocolate chips', 'coconut oil', 'white chocolate chips', 'milk chocolate chips (mini or regular-sized)', 'mini oreo cookies']"
Chelseas Messy Apron,Chickpea Curry,https://www.chelseasmessyapron.com/chickpea-curry/,55 minutes,"['coconut oil', 'finely diced red onion', 'finely diced carrot', 'minced garlic', 'minced fresh ginger', 'red curry paste', 'yellow curry powder', 'garam masala, paprika, ground coriander, white sugar', 'ground cumin', 'turmeric', 'fine sea salt and black pepper', 'fire-roasted crushed tomatoes', 'chickpeas', 'coconut milk', 'freshly-squeezed lime juice', 'finely diced cilantro', 'for serving: cooked basmati rice (note 3), warmed naan (note 4), raita (note 5)']"
