Blog,Recipe,Link,Time,Ingredients
Oh sweet basil,Marinated Grilled Chicken Breasts,https://ohsweetbasil.com/marinated-grilled-chicken-breasts/,1 hour 22 minutes,"['chicken breasts', 'olive oil', 'balsamic vinegar', 'honey', 'lemon', 'soy sauce', 'brown sugar', 'garlic powder', 'salt', 'dijon mustard', ""dean jacob's 4 spice variety pack tuscany blend""]"
Oh sweet basil,S’mores Stuffed Chocolate Chip Cookies,https://ohsweetbasil.com/smores-stuffed-chocolate-chip-cookies/,48 minutes,"['butter', 'brown sugar', 'white sugar', 'eggs', 'vanilla', 'flour', 'salt', 'baking soda', 'corn starch', 'chocolate chips', 'marshmallows', 'graham crackers', 'candy bar']"
Oh sweet basil,Grilled Cilantro Lime Chicken and Mango Salsa,https://ohsweetbasil.com/mango-salsa-mexican-grilled-chicken-with-coconut-rice-recipe/,12 minutes,"['chicken breasts', 'lime zest', 'orange juice', 'lime juice', 'canola oil', 'honey', 'cumin', 'chili powder', 'coriander', 'soy sauce', 'garlic', 'cilantro', 'cucumber', 'mango', 'avocado', 'jalapeno', 'red pepper', 'red onion', 'limes ', 'sugar', 'white vinegar', 'canola oil', 'cilantro', 'coconut rice']"
Oh sweet basil,Bakery Style Blueberry Muffins,https://ohsweetbasil.com/bakery-style-blueberry-muffin-recipe/,40 minutes,"['flour', 'baking powder', 'salt', 'blueberries', 'vegetable oil', 'sugar', 'eggs', 'vanilla', 'almond extract', 'milk', 'sanding sugar for tops']"
Oh sweet basil,Copycat J.Dawgs Special Sauce,https://ohsweetbasil.com/saucy-dog/,10 minutes,"['ketchup', 'bbq sauce', 'apple cider vinegar', 'garlic salt', 'pepper', 'honey', 'smoked paprika']"
Oh sweet basil,Tropical Fruit Salad,https://ohsweetbasil.com/tropical-fruit-salad-recipe/,10 minutes,"['pineapple', 'kiwi', 'mandarin oranges', 'mangoes', 'bananas', 'lime juice', 'honey', 'poppy seeds']"
Oh sweet basil,Lemon Crinkle Cookies,https://ohsweetbasil.com/lemon-crinkle-cookies-recipe/,27 minutes,"['unsalted butter', 'granulated sugar', 'lemon zest', 'large egg ', 'vanilla extract', 'flour', 'baking powder', 'kosher salt', 'granulated sugar', 'powdered sugar ']"
Oh sweet basil,Kalua Pulled Pork,https://ohsweetbasil.com/hawaiian-pulled-pork/,8 hours 2 minutes,"['boneless pork butt/shoulder', 'liquid smoke', 'olive oil', 'pink himalayan salt']"
Oh sweet basil,Marinated Beef Steak,https://ohsweetbasil.com/the-best-steak-marinade-and-which-steak-to-buy/,5 hours 20 minutes,"['hanger steak', 'extra virgin olive oil', 'worcestershire sauce', 'lemon', 'balsamic vinegar', 'soy sauce', 'stone ground dijon mustard', 'dark brown sugar', 'italian seasoning', 'cloves of garlic', 'fresh black pepper', 'kosher salt']"
Oh sweet basil,Classic Pesto Recipe,https://ohsweetbasil.com/classic-pesto-recipe-and-how-to-store-pesto/,4 minutes,"['plus 1 1/2 tablespoons pine nuts', 'garlic', 'fresh basil', 'plus 1-2 tablespoons olive oil', 'plus 2 tablespoons parmesan cheese', 'salt']"
Oh sweet basil,Caprese Orzo Pasta,https://ohsweetbasil.com/caprese-orzo-pasta/,14 minutes,"['orzo pasta', 'olive oil', 'garlic', 'chicken broth', 'thyme leaves', 'basil', ' mozzarella', 'tomatoes', 'parmesan cheese', 'cracked pepper', 'salt']"
Oh sweet basil,Our Favorite Chocolate Chip Cookies,https://ohsweetbasil.com/our-favorite-chocolate-chip-cookies/,25 minutes,"['butter', 'brown sugar', 'white sugar', 'eggs', 'vanilla', 'flour', 'salt', 'baking soda', 'corn starch', 'chocolate chips']"
Oh sweet basil,Key Lime Pie,https://ohsweetbasil.com/key-lime-pie-recipe/,3 hours 40 minutes,"['graham cracker crust', 'sweetened condensed milk', 'sour cream', 'lime zest', 'lime juice', 'egg yolks', 'stabilized whipped cream for serving\xa0']"
Oh sweet basil,Dulce De Leche,https://ohsweetbasil.com/dulce-de-leche-recipe/,2 hours 30 minutes,['sweetened condensed milk']
Oh sweet basil,Roasted Asparagus with Kumquats,https://ohsweetbasil.com/roasted-asparagus-with-kumquats-recipe/,20 minutes,"['asparagus', 'kinders buttery steakhouse seasoning', 'salt and pepper', 'olive oil', 'shallot', 'vinegar', 'olive oil', 'sugar', 'kumquats', 'green olives', 'black olives']"
Oh sweet basil,Cheesy Ground Beef Enchiladas,https://ohsweetbasil.com/family-favorite-cheesy-ground-beef-enchiladas-recipe/,33 minutes,"['oil', 'ground beef', 'cumin', 'coriander', 'smoked paprika', 'cayenne', 'salt', 'cheese', 'cilantro', 'tortillas', ' enchilada sauces', 'cocoa powder', 'brown sugar']"
Oh sweet basil,Dutch Baby Pancake,https://ohsweetbasil.com/dutch-baby-pancake-recipe/,40 minutes,"['flour', 'milk', 'lemon zest', 'kosher salt', ' eggs', 'butter']"
Oh sweet basil,Our Favorite Chicken Salad Croissant Sandwich,https://ohsweetbasil.com/our-new-favorite-chicken-salad/,15 minutes,"[' chicken', 'mayonnaise', 'ranch dressing', 'sugar', 'cheddar cheese', 'head romaine', 'grapes', 'large tomato']"
Oh sweet basil,Graham Cracker Crust,https://ohsweetbasil.com/graham-cracker-crust-recipe/,15 minutes,"['graham cracker crumbs', 'sugar', 'butter']"
Oh sweet basil,Lemon Poppy Seed Muffins,https://ohsweetbasil.com/lemon-poppy-seed-muffins-recipe/,30 minutes,"['flour', 'sugar', 'poppy seeds', 'baking powder', 'baking soda', 'salt', 'sour cream', 'whole milk', 'vanilla extract', 'almond extract', 'lemon', 'eggs', 'canola oil', 'powdered sugar', 'whole milk', 'almond extract', 'lemon juice', 'sugar']"
Oh sweet basil,Ham and Cheese Puffs,https://ohsweetbasil.com/ham-and-cheese-puffs-recipe/,30 minutes,"['frozen puff pastry ', 'butter', 'garlic', 'flour', 'ground mustard', 'nutmeg', 'whole milk', 'sharp cheddar cheese', 'parmesan cheese', 'salt', 'ham', 'spinach', 'egg', 'water', 'reynolds wrap® heavy duty foil']"
Oh sweet basil,Slow Cooker Orange Glazed Carrots,https://ohsweetbasil.com/slow-cooker-orange-glazed-carrots-recipe/,5 hours 10 minutes,"['baby carrots', 'brown sugar', 'honey', 'orange zest', 'orange juice', 'butter', 'cinnamon', 'nutmeg', 'salt', 'corn starch', 'water']"
Oh sweet basil,Honey Baked Ham,https://ohsweetbasil.com/honey-baked-ham-recipe/,2 hours 25 minutes,"['ham', 'butter', 'honey', 'dijon mustard', 'apple butter', 'cinnamon', 'apple juice', 'sugar', 'brown sugar', 'salt', 'cinnamon', 'cloves', 'onion powder', 'ginger', 'allspice', 'smoked paprika', 'kitchen torch']"
Oh sweet basil,Orange Sweet Rolls,https://ohsweetbasil.com/sweet-zesty-orange-rolls-recipe/,2 hours 45 minutes,"['whole milk', 'yeast', 'sugar', 'butter', 'salt', 'egg', 'flour', 'powdered sugar', 'butter', 'orange zest', 'orange juice', 'vanilla']"
Oh sweet basil,Creamy Sun Dried Tomato Gnocchi,https://ohsweetbasil.com/creamy-sun-dried-tomato-and-spinach-gnocchi-recipe/,15 minutes,"['olive oil', 'leek', 'garlic', 'cherry tomatoes', 'sun dried tomatoes', 'white wine', 'butter', 'gnocchi', 'parmesan cheese', 'spinach', 'heavy cream', 'basil', 'salt and pepper']"
Oh sweet basil,Strawberry Pretzel Jello Salad,https://ohsweetbasil.com/strawberry-pretzel-jello-salad-recipe/,25 minutes,"['pretzels', 'butter', 'brown sugar', 'sugar', 'jello', 'water', 'strawberries', 'sugar', 'cream cheese', 'cool whip']"
Oh sweet basil,Creamy Garlic Parmesan Orzo,https://ohsweetbasil.com/creamy-garlic-parmesan-orzo/,14 minutes,"[' orzo pasta', 'olive oil', 'butter', 'garlic', 'chicken broth', 'half and half', 'fresh thyme leaves', 'grated parmesan cheese', 'freshly cracked black pepper', 'salt']"
Oh sweet basil,Peanut Butter Banana Cream Pie,https://ohsweetbasil.com/peanut-butter-banana-cream-pie-recipe/,20 minutes,"['instant pudding ', 'milk', 'neufchatel cheese', 'peanut butter', 'milk', 'cool whip', 'bananas', 'graham cracker pie crust']"
Oh sweet basil,Slow Cooker Corned Beef And Cabbage,https://ohsweetbasil.com/slow-cooker-corned-beef-and-cabbage/,8 hours 10 minutes,"['brisket', 'onion', 'garlic', 'bay leaves', 'broth', 'vinegar', 'sugar', 'potatoes', 'carrots', 'cabbage']"
