Blog,Recipe,Link,Time,Ingredients
Pinch of Yum,Sheet Pan Chicken Pitas with Tzatziki,https://pinchofyum.com/sheet-pan-chicken-pitas,45 minutes,"['chicken:', 'boneless skinless chicken breasts', 'garlic', 'olive oil', 'lemon juice', 'each', 'cumin', 'smoked paprika', 'kosher salt', 'curry powder', 'black pepper', 'peppers:', 'bell peppers', 'olive oil', 'salt', 'tzatziki:', 'full-fat plain greek yogurt', 'grated cucumber', 'lemon juice', 'olive oil', 'garlic', 'dried dill', 'salt', 'pepper', 'other:', 'cucumbers', 'red onion', 'kalamata olives', 'feta chees', 'flatbread']"
Pinch of Yum,Creamy Kale Pasta,https://pinchofyum.com/creamy-kale-pasta-2,30 minutes,"['for the sauce:', 'pine nuts', 'packed parsley', 'packed basil', 'capers or pitted olives', 'salt', 'black pepper', 'lemon', 'olive oil', 'farfalle', 'butter or vegan butter', 'garlic', 'kale', 'white wine', 'lemon juice', 'red pepper flakes', 'parmesan']"
Pinch of Yum,Basic + Awesome Broccoli Cheese Soup,https://pinchofyum.com/broccoli-cheese-soup,45 minutes,"['butter', 'onion', 'garlic', 'broccoli stems', 'all-purpose flour', 'whole milk', 'half and half', 'chicken or vegetable broth', 'broccoli florets', 'carrot', 'salt', 'freshly ground black pepper', 'paprika', 'extra-sharp cheddar cheese']"
Pinch of Yum,Raw Vegan Carrot Cake Bites,https://pinchofyum.com/raw-vegan-carrot-cake-bites,15 minutes,"['carrot', 'almond butter', 'pure maple syrup', 'flaked unsweetened coconut', 'old fashioned oats', 'salt', 'vanilla', 'cinnamon', 'white chocolate chips']"
Pinch of Yum,Summer Chipotle Chicken Cobb Salad with Cilantro Vinaigrette,https://pinchofyum.com/summer-chipotle-chicken-cobb-salad-with-cilantro-vinaigrette,1 hour 10 minutes,"['for the chipotle chicken:', 'vegetable oil', 'chipotle chiles', 'garlic powder', 'cumin', 'oregano', 'black pepper', 'salt', 'chicken breasts', 'thighs', 'for the summer cobb salad:', 'greens', 'bacon', 'strawberries', 'corn on the cob', 'avocados', 'cilantro vinaigrette!']"
Pinch of Yum,Pumpkin Rigatoni with Rosemary Walnut Crispies,https://pinchofyum.com/pumpkin-rigatoni,45 minutes,"['butter', 'garlic', 'pumpkin puree', 'chicken or vegetable broth', 'heavy cream', 'kosher salt', 'lemon', 'rigatoni', 'walnuts', 'rosemary leaves', 'melted butter', 'brown sugar', 'salt', 'black pepper']"
Pinch of Yum,Springy Blueberry Lemon Bread,https://pinchofyum.com/blueberry-lemon-bread,1 hour 15 minutes,"['land o lakes® butter', 'white sugar', 'lemon', 'eggs', 'flour', 'baking powder', 'salt', 'milk', 'blueberries']"
Pinch of Yum,Sesame Beef and Broccoli,https://pinchofyum.com/sesame-beef-and-broccoli,30 minutes,"['the basics:', 'beef flank steak', 'broccoli', 'vegetable oil', 'garlic', 'fresh peeled ginger', 'white rice', 'brown rice', 'cauliflower rice', 'green onions', 'the sauce:', 'low sodium soy sauce', 'water', 'brown sugar', 'sambal oelek', 'rice vinegar', 'sesame oil', 'cornstarch']"
Pinch of Yum,Date Night Rigatoni with Sausage and Kale,https://pinchofyum.com/date-night-rigatoni,1 hour,"['rigatoni', 'reserved pasta water', 'olive oil', 'fennel', 'celery', 'yellow onion', 'italian sausage', 'garlic', 'fennel seeds', 'tomato paste', 'white wine', 'chicken broth', 'heavy cream', 'chopped', 'kale', 'salt', 'parmesan cheese', 'red pepper flakes']"
Pinch of Yum,Chipotle Tahini Bowls,https://pinchofyum.com/chipotle-tahini-bowls,20 minutes,"['chipotle tahini', 'olive oil', 'water', 'tahini', 'chipotles', 'garlic', 'orange', 'salt', 'build the bowls:']"
