Blog,Recipe,Link,Time,Ingredients
Two peas and their pod,Easy Pasta Salad,https://www.twopeasandtheirpod.com/easy-pasta-salad/,15 mins,"['pasta,', 'red bell pepper,', 'yellow pepper,', 'halved grape tomatoes', 'sliced black olives', 'italian dressing', 'chopped basil', 'freshly grated parmesan cheese', 'kosher salt and pepper,']"
Two peas and their pod,Scotcheroos,https://www.twopeasandtheirpod.com/scotcheroos/,30 mins,"['creamy peanut butter,', 'light corn syrup', 'packed light brown sugar', 'unsalted butter', 'vanilla extract', 'salt', 'crispy rice cereal', 'semi-sweet chocolate chips', 'butterscotch chips', 'flaky sea salt,']"
Two peas and their pod,Strawberry Spinach Salad with Strawberry Dressing,https://www.twopeasandtheirpod.com/strawberry-spinach-salad-with-strawberry-dressing/,15 mins,"['chopped strawberries', 'olive oil', 'balsamic vinegar', 'honey', 'dijon mustard', 'kosher salt and freshly ground black pepper,', 'fresh spinach', 'sliced strawberries', 'large avocado,', 'red onion,', 'crumbled feta cheese or goat cheese', 'roughly chopped candied pecans or pecans']"
Two peas and their pod,Flank Steak with Chimichurri Sauce,https://www.twopeasandtheirpod.com/flank-steak-with-chimichurri-sauce/,15 mins,"['vegetable oil', 'shishito peppers', 'lightly packed fresh italian parsley leaves', 'lightly packed fresh cilantro leaves', 'lightly packed fresh oregano leaves', 'roughly chopped shallot', 'garlic,', 'red wine vinegar', 'fresh lime juice', 'honey', 'kosher salt,', 'black pepper,', 'extra-virgin olive oil', '(2-pound) flank steak']"
Two peas and their pod,Easy Mango Salsa,https://www.twopeasandtheirpod.com/easy-mango-salsa/,10 mins,"['medium ripe mangos,', 'red bell pepper,', 'diced red onion', 'jalapeno,', 'chopped cilantro', 'juice of 1 lime', 'salt and pepper,']"
Two peas and their pod,Lemon Butter Chicken,https://www.twopeasandtheirpod.com/lemon-butter-chicken/,5 mins,"['boneless, skinless chicken breasts,', 'kosher salt and freshly cracked black pepper', 'extra-virgin olive oil', 'all-purpose flour', 'unsalted butter', 'garlic cloves,', 'lemon,', 'freshly squeezed lemon juice', 'chopped fresh parsley,']"
Two peas and their pod,Pretzel Rolls,https://www.twopeasandtheirpod.com/pretzel-rolls/,1 hr 30 mins,"['warm water', 'light brown sugar', 'package active dry yeast', 'unsalted butter,', 'kosher salt', 'all-purpose flour', 'oil,', 'baking soda,', 'large egg', 'cold water', 'coarse sea salt,']"
Two peas and their pod,Farro with Mushrooms & Asparagus,https://www.twopeasandtheirpod.com/farro-with-mushrooms/,5 mins,"['vegetable broth', 'uncooked farro,', 'olive oil', 'mushrooms,', 'asparagus,', 'garlic,', 'large shallot,', 'dried thyme', 'zest of 1 lemon', 'juice of 1 lemon', 'kosher salt and black pepper,', 'goat cheese', 'chopped chives', 'garnish: squeeze of fresh lemon juice,']"
Two peas and their pod,Skillet Chocolate Chip Cookie,https://www.twopeasandtheirpod.com/skillet-chocolate-chip-cookie/,10 mins,"['unsalted butter,', 'packed brown sugar', 'granulated sugar', 'large egg', 'egg yolk', 'pure vanilla extract', 'all-purpose flour', 'cornstarch', 'baking soda', 'sea salt', 'chocolate chips', 'flaky sea salt,']"
Two peas and their pod,Creamy Lemon Ravioli with Spinach & Peas,https://www.twopeasandtheirpod.com/creamy-lemon-ravioli/,5 mins,"['cheese ravioli,', 'unsalted butter', 'shallot,', 'garlic,', 'all-purpose flour', 'vegetable broth', 'zest of 1 lemon', 'juice of 1 lemon,', 'heavy cream', 'kosher salt and freshly ground black pepper,', 'freshly grated parmesan cheese', 'chopped fresh spinach', 'frozen peas', 'optional garnishes: crushed red pepper flakes,']"
Two peas and their pod,Breakfast Burritos,https://www.twopeasandtheirpod.com/breakfast-burritos/,10 mins,"['tater tots', 'strips bacon', 'butter or olive oil', 'large eggs', 'milk or water', 'kosher salt and black pepper', '(10-inch) flour tortillas', 'shredded monterey jack or cheddar cheese', 'large avocado', 'pico de gallo', 'salsa and hot sauce']"
Two peas and their pod,Spring Tortellini Salad,https://www.twopeasandtheirpod.com/spring-tortellini-salad/,10 mins,"['extra-virgin olive oil', 'freshly grated parmesan cheese', 'lemon zest', 'fresh lemon juice', 'garlic,', 'honey', 'dijon mustard', 'kosher salt and freshly ground black pepper,', 'asparagus,', 'frozen green peas', 'cheese tortellini,', 'arugula', 'jarred artichoke hearts', 'green onions,', 'basil leaves,', 'freshly grated parmesan cheese,']"
Two peas and their pod,Chocolate Peanut Butter Granola,https://www.twopeasandtheirpod.com/chocolate-peanut-butter-granola/,10 mins,"['creamy peanut butter', 'coconut oil,', 'pure maple syrup', 'pure vanilla extract', 'old fashioned oats', 'unsweetened coconut flakes', 'dutch process cocoa or unsweetened cocoa powder', 'sea salt']"
Two peas and their pod,Flautas,https://www.twopeasandtheirpod.com/flautas/,15 mins,"['olive oil or avocado oil', 'yellow onion,', 'jalapeno,', 'shredded chicken,', 'ground cumin', 'chili powder', 'kosher salt', 'garlic powder', 'paprika', 'mild green chiles', 'fresh lime juice', 'shredded cheddar or mexican blend cheese', 'flour tortillas', 'shredded lettuce', 'pico de gallo', 'salsa', 'guacamole', 'sour cream', 'chopped green onion', 'crumbled queso fresco']"
Two peas and their pod,Pico de Gallo,https://www.twopeasandtheirpod.com/pico-de-gallo/,10 mins,"['medium diced tomatoes,', 'large white onion,', 'large jalapeño peppers,', 'chopped cilantro', 'juice of 1 large lime,', 'kosher salt,']"
Two peas and their pod,Black Bean Enchiladas,https://www.twopeasandtheirpod.com/black-bean-and-cheese-enchiladas/,15 mins,"['black beans,', 'mild green chiles', 'enchilada sauce', 'corn or flour tortillas,', 'shredded monterey jack or mexican blend cheese', 'chopped cilantro', 'green onions,', 'avocado,', 'crumbled queso fresco']"
Two peas and their pod,Banana Pancakes,https://www.twopeasandtheirpod.com/banana-pancakes/,10 mins,"['white whole wheat flour or all-purpose flour', 'light brown sugar', 'baking powder', 'salt', 'ground cinnamon', 'ground nutmeg', 'buttermilk,', 'large egg,', 'butter,', 'honey', 'vanilla extract', 'ripe bananas', 'sliced bananas,']"
Two peas and their pod,Crepes,https://www.twopeasandtheirpod.com/crepes/,1 hr 10 mins,"['unsalted butter,', 'all-purpose flour', 'granulated sugar', 'salt', 'whole milk,', 'water,', 'large eggs,', 'pure vanilla extract,', 'butter,']"
Two peas and their pod,Spaghetti and Meatballs,https://www.twopeasandtheirpod.com/spaghetti-and-meatballs/,20 mins,"['lean\xa0ground beef', 'ground italian sausage', 'seasoned italian bread crumbs', 'finely grated\xa0parmesan cheese', 'garlic,', 'finely chopped\xa0fresh basil', 'finely chopped\xa0fresh parsley', 'dried oregano', 'large eggs,', 'kosher salt', 'black pepper', 'olive oil', 'marinara sauce,', 'spaghetti', 'parmesan cheese and fresh basil,']"
Two peas and their pod,Taco Salad,https://www.twopeasandtheirpod.com/taco-salad/,15 mins,"['olive oil or avocado oil', 'lean ground beef', 'chili powder', 'ground cumin', 'kosher salt', 'smoked paprika', 'garlic powder', 'onion powder', 'dried oregano', 'water', 'head romaine lettuce,', 'black beans,', 'shredded mexican blend or cheddar cheese', 'grape tomatoes,', 'large avocado peeled,', 'loosely packed cilantro leaves', 'red onion,', 'tortilla chips,', 'pico de gallo', 'salsa', 'sour cream', 'sliced black olives', 'jalapeno slices', 'red onion slices', 'lime wedges', 'hot sauce', 'creamy cilantro lime dressing,']"
Two peas and their pod,Carrot Cake Muffins,https://www.twopeasandtheirpod.com/carrot-cake-muffins/,15 mins,"['cream cheese,', 'granulated sugar', 'vanilla extract', 'all-purpose flour', 'granulated sugar', 'ground cinnamon', 'baking powder', 'baking soda', 'salt', 'ground ginger', 'ground nutmeg', 'ground cloves', 'melted coconut oil or vegetable oil', 'packed brown sugar', 'buttermilk,', 'large eggs,', 'vanilla extract', 'freshly grated carrots,', 'raisins,', 'turbinado sugar,']"
Two peas and their pod,Oatmeal Scotchies,https://www.twopeasandtheirpod.com/oatmeal-scotchies/,15 mins,"['all-purpose flour', 'baking soda', 'ground cinnamon', 'salt', 'unsalted butter,', 'packed brown sugar', 'granulated sugar', 'large egg', 'vanilla extract', 'old fashioned oats', 'butterscotch chips', 'flaky sea salt,']"
Two peas and their pod,Chicken Penne Pasta,https://www.twopeasandtheirpod.com/chicken-penne-pasta/,10 mins,"['grape tomatoes,', 'chopped fresh basil', 'olive oil', 'balsamic vinegar', 'garlic,', 'kosher salt and black pepper,', 'penne pasta', 'olive oil', 'boneless skinless chicken breasts,', 'kosher salt and black pepper', 'unsalted butter', 'shallot,', 'garlic,', 'flour', 'chicken broth', 'white wine,', 'heavy cream', 'italian seasoning', 'crushed red pepper', 'freshly grated parmesan cheese,']"
Two peas and their pod,Pistachio Crusted Baked Salmon,https://www.twopeasandtheirpod.com/pistachio-crusted-baked-salmon/,10 mins,"['whole salmon fillet,', 'kosher salt and freshly ground black pepper', 'fresh lemon juice', 'olive oil', 'honey', 'dijon mustard', 'fresh garlic,', 'panko', 'crushed pistachios', 'freshly grated parmesan cheese', 'zest of 1 lemon', 'lemon wedges']"
Two peas and their pod,Lemon Bars,https://www.twopeasandtheirpod.com/lemon-bars-recipe/,15 mins,"['unsalted butter,', 'granulated sugar', 'pure vanilla extract', 'all-purpose flour', 'kosher salt', 'granulated sugar', 'zest of 2 large lemons', 'all-purpose flour', 'large eggs', 'fresh lemon juice', 'confectioner’s sugar,']"
Two peas and their pod,Avocado Egg Salad,https://www.twopeasandtheirpod.com/avocado-egg-salad/,10 mins,"['hard boiled eggs,', 'hard boiled egg whites,', 'small avocados,', 'plain greek yogurt', 'fresh lemon juice', 'chopped green onion', 'dijon mustard', 'salt and freshly ground black pepper,']"
Two peas and their pod,Strawberry Shortcake,https://www.twopeasandtheirpod.com/strawberry-shortcake/,40 mins,"['strawberries', 'granulated sugar', 'all-purpose flour', 'granulated sugar', 'baking powder', 'salt', 'cold unsalted butter', 'cold heavy cream', 'pure vanilla extract', 'heavy cream', 'turbinado sugar', 'heavy whipping cream', 'confectioners’ sugar', 'pure vanilla extract', 'of salt']"
Two peas and their pod,Egg Salad,https://www.twopeasandtheirpod.com/egg-salad/,10 mins,"['hard boiled eggs', 'plain greek yogurt', 'mayonnaise', 'dijon mustard', 'fresh lemon juice', 'finely diced celery', 'sliced green onions', 'chopped chives', 'kosher salt and freshly ground black']"
Two peas and their pod,Roasted Carrots,https://www.twopeasandtheirpod.com/roasted-carrots/,10 mins,"['carrots,', 'olive oil', 'garlic powder,', 'kosher salt and freshly ground black pepper,', 'optional garnish: 2 teaspoons chopped fresh dill or fresh thyme']"
Two peas and their pod,Spinach Quiche,https://www.twopeasandtheirpod.com/spinach-quiche/,15 mins,"['frozen deep dish pie crust', 'olive oil or butter', 'chopped yellow onion', 'garlic cloves,', 'half and half', 'large eggs', 'large egg yolk', 'kosher salt', 'black pepper', 'crushed red pepper', 'frozen chopped spinach,', 'shredded gruyere cheese']"
Two peas and their pod,Deviled Eggs,https://www.twopeasandtheirpod.com/deviled-eggs/,20 mins,"['large eggs', 'mayonnaise', 'dijon mustard', 'vinegar,', 'kosher salt and black pepper,', 'paprika,']"
Two peas and their pod,Coffee Cake,https://www.twopeasandtheirpod.com/coffee-cake/,20 mins,"['all-purpose flour', 'brown sugar,', 'kosher salt', 'ground cinnamon', 'unsalted butter,', 'all-purpose flour', 'baking powder', 'baking soda', 'kosher salt', 'unsalted butter,', 'granulated sugar', 'large eggs,', 'sour cream,', 'vanilla extract', 'confectioners’ sugar', 'milk or heavy cream', 'pure vanilla extract']"
Two peas and their pod,Roasted Asparagus,https://www.twopeasandtheirpod.com/roasted-asparagus-with-balsamic-vinegar-recipe/,5 mins,"['asparagus spears', 'olive oil', 'kosher salt and black pepper,', 'optional seasonings and/or garnishes: balsamic vinegar,']"
Two peas and their pod,Homemade Fish Sticks,https://www.twopeasandtheirpod.com/homemade-fish-sticks/,20 mins,"['mayonnaise', 'finely chopped kosher dill pickles', 'finely chopped sweet pickles', 'dijon mustard', 'chopped capers', 'fresh lemon juice', 'kosher salt and black pepper,', 'fresh or thawed cod,', 'large eggs', 'panko', 'garlic powder', 'onion powder', 'paprika', 'zest of one lemon']"
Two peas and their pod,Salted Malted Crispy Chocolate Chip Cookies,https://www.twopeasandtheirpod.com/salted-malted-crispy-chocolate-chip-cookies/,1 hr,"['all-purpose flour', 'malted milk powder', 'baking soda', 'baking powder', 'sea salt', 'unsalted butter,', 'granulated sugar', 'light brown sugar,', 'large eggs,', 'pure vanilla extract', 'semi-sweet chocolate chips', 'semi-sweet chocolate chunks', 'flaky sea salt,']"
Two peas and their pod,Best Guacamole,https://www.twopeasandtheirpod.com/best-guacamole/,10 mins,"['medium ripe hass avocados', 'diced red onion', 'small jalapeno,', 'chopped cilantro', 'large lime,', 'kosher salt', 'black pepper']"
Two peas and their pod,Asparagus Chickpea Quinoa Salad,https://www.twopeasandtheirpod.com/asparagus-chickpea-quinoa-salad/,10 mins,"['freshly squeezed lemon juice', 'extra virgin olive oil', 'dijon mustard', 'garlic,', 'kosher salt and black pepper,', 'water', 'quinoa', 'salt', 'olive oil', 'small bunch asparagus,', 'fresh lemon juice', 'chickpeas, rinsed and drained,', 'green onions,', 'crumbled feta cheese', 'salt and freshly ground black pepper,']"
Two peas and their pod,Favorite Veggie Pizza,https://www.twopeasandtheirpod.com/best-veggie-pizza/,25 mins,"['pizza dough', 'pizza sauce', 'olive oil', 'cremini mushrooms,', 'garlic,', 'kosher salt and black pepper', 'shredded low-moisture part-skim mozzarella cheese', 'jarred or canned artichoke hearts,', 'jarred roasted red bell peppers,', 'red onion,', 'sliced black olives', 'garnish: fresh basil leaves,']"
Two peas and their pod,Easy Pizza Sauce,https://www.twopeasandtheirpod.com/easy-pizza-sauce/,5 mins,"['olive oil', 'garlic', 'fennel seed', 'crushed tomatoes', 'tomato paste', 'dried basil', 'dried oregano', 'salt', 'crushed red pepper']"
Two peas and their pod,Easy Pizza Dough,https://www.twopeasandtheirpod.com/easy-pizza-dough/,2 hrs,"['bread flour or all-purpose flour', 'instant yeast', 'kosher salt', 'lukewarm water', 'extra-virgin olive oil,']"
